Spotify ID,Title,Artists,Year,Rank,Genres,Acousticness,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Top 50
6DkXLzBQT7cwXmTyzAB1DJ,What's My Name?,Rihanna Featuring Drake,2011,20,"barbadian pop, dance pop, pop, pop rap, urban contemporary, canadian hip hop, canadian pop, hip hop, rap, toronto rap",0.182,0.784,0,2,0.0843,-2.972,1,0.074,99.954,4,0.561,0
3hsmbFKT5Cujb5GQjqEU39,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,21,"hip hop, pop rap, rap",0.0339,0.677,5.51E-06,11,0.144,-6.128,0,0.184,146.155,4,0.538,0
0x3TibRgnSqzkcwrqBd4iX,Down On Me,Jeremih Featuring 50 Cent,2011,22,"hip hop, pop rap",0.0369,0.598,0,2,0.111,-7.783,1,0.114,160.041,4,0.594,0
1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,Adele,2011,24,"british soul, pop, pop soul, uk pop",0.893,0.319,0,9,0.0996,-8.251,1,0.0281,135.187,4,0.294,0
14blxrgE0VWAgv5aF2wWmx,Good Life,OneRepublic,2011,25,rap,0.00305,0.808,0,1,0.439,-6.881,1,0.346,82.962,4,0.487,0
1ExfPZEiahqhLyajhybFeS,The Lazy Song,Bruno Mars,2011,26,"dance pop, pop",0.332,0.804,0,11,0.279,-3.851,1,0.0621,174.943,4,0.949,0
38iU2jg98IZZEIJPrP7aWD,Till the World Ends,Britney Spears,2011,27,"dance pop, pop, post-teen pop",0.0228,0.705,0,8,0.202,-5.747,1,0.0665,131.951,4,0.45,0
4NTWZqvfQTlOMitlVn6tew,The Show Goes On,Lupe Fiasco,2011,28,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop",0.0189,0.889,0,7,0.155,-3.839,1,0.115,143.067,4,0.65,0
0JNdS1n0ifOP25XvhwAMgM,The Edge Of Glory,Lady Gaga,2011,29,"dance pop, pop",0.000343,0.772,0.0191,9,0.11,-6.544,1,0.0401,127.952,4,0.361,0
3LUWWox8YYykohBbHUrrxd,We R Who We R,Ke$ha,2011,30,"dance pop, electropop, pop, post-teen pop",0.00987,0.817,0.00167,8,0.117,-4.9,1,0.0407,119.95,4,0.653,0
5A6OHHy73AR5tLxgTc98zz,Black and Yellow,Wiz Khalifa,2011,31,"dance pop, hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",0.0646,0.834,0,2,0.271,-4.524,0,0.0675,164.02,4,0.538,0
2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,Hot Chelle Rae,2011,32,"dance pop, dance rock, neon pop punk, pop, pop punk, pop rap, pop rock, post-teen pop, viral pop",0.0764,0.783,0,4,0.163,-4.977,1,0.119,99.978,4,0.814,0
3pYDZTJM2tVBUhIRifWVzI,Blow,Ke$ha,2011,33,"dance pop, electropop, pop, post-teen pop",0.00334,0.729,5.66E-05,11,0.073,-3.862,0,0.0392,120.013,4,0.812,0
5zpDHEU12zATwLGvozxPw2,Lighters,Bad Meets Evil Featuring Bruno Mars,2011,34,"detroit hip hop, gangster rap, hip hop, pop rap, rap, dance pop, pop",0.352,0.695,0,0,0.119,-8.327,1,0.245,90.268,4,0.144,0
4u26EevCNXMhlvE1xFBJwX,If I Die Young,The Band Perry,2011,35,"contemporary country, country, country dawn, country road, modern country rock",0.348,0.497,0,4,0.275,-6.611,1,0.0277,130.739,4,0.362,0
0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),Gym Class Heroes Featuring Adam Levine,2011,36,"dance pop, pop rap",0.0319,0.795,0,9,0.267,-3.293,1,0.0976,89.99,4,0.796,0
7vWFaMq63AwkFDhS2OAg5u,The Time (Dirty Bit),The Black Eyed Peas,2011,37,"dance pop, pop, pop rap",0.0662,0.813,2.77E-06,6,0.602,-7.798,0,0.0664,127.979,4,0.436,0
65GbQI9VDTs7vo6MJL2iJA,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,38,modern blues,0.461,0.465,5.52E-05,6,0.154,-6.595,1,0.0297,112.418,3,0.462,0
3rfhI32Il2hVRKDkuGeeen,Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull Featuring T-Pain,2011,39,"pop, pop rap, dance pop",0.0434,0.912,0,10,0.259,-3.428,0,0.0884,128.024,4,0.762,0
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,2011,40,"barbadian pop, dance pop, pop, pop rap, urban contemporary",0.112,0.706,1.71E-05,11,0.0586,-4.233,0,0.0429,125.911,4,0.638,0
2qYsSHsYkihWx043HVJQRV,Dirt Road Anthem,Jason Aldean,2011,43,"contemporary country, country, country road",0.347,0.741,1.87E-06,2,0.117,-5.055,1,0.0357,127.024,4,0.635,0
4saklk6nie3yiGePpBwUoc,Dynamite,Taio Cruz,2011,44,"k-pop, k-pop boy group",0.0112,0.765,0,6,0.0936,-4.41,0,0.0993,114.044,4,0.737,0
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame Featuring Roscoe Dash & Wale,2011,45,"hip hop, pop rap, southern hip hop, rap, gangster rap, atl hip hop, trap",0.00544,0.595,0,1,0.241,-6.366,1,0.0391,131.497,4,0.361,0
5cCAZS9VhLGEDV4NCfieeg,I Wanna Go,Britney Spears,2011,46,"dance pop, pop, post-teen pop",0.00379,0.546,3.80E-06,5,0.332,-6.55,1,0.0414,130.002,4,0.787,0
608a1wIsSd5KzMEqm1O7w3,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011,47,"hip hop, pop rap, southern hip hop, rap, trap",0.0536,0.807,0,11,0.631,-3.499,0,0.318,149.33,4,0.438,0
16Of7eeW44kt0a1M0nitHM,You Make Me Feel... (feat. Sabi),Cobra Starship Featuring Sabi,2011,48,"dance pop, neon pop punk, pop punk, post-teen pop",0.0191,0.857,6.71E-06,7,0.0385,-2.944,0,0.0535,131.959,4,0.748,0
2QtxlzvSBONjs1bDC34ixs,Yeah 3x,Chris Brown,2011,49,"dance pop, pop, pop rap, r&b, rap",0.000369,0.882,1.16E-06,11,0.0934,-3.201,0,0.0445,130,4,0.7,0
1ia019RqDK2o4QiANR1Dyn,Moment 4 Life,Nicki Minaj Featuring Drake,2011,50,"dance pop, hip pop, pop, pop rap, queens hip hop, canadian hip hop, canadian pop, hip hop, rap, toronto rap",0.406,0.882,0,11,0.241,-3.883,1,0.351,98.001,4,0.369,1
70ATm56tH7OrQ1zurYssz0,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011,51,"hip hop, rap",0.0869,0.946,0,3,0.306,-4.521,1,0.452,155.826,4,0.397,1
3ZdJffjzJWFimSQyxgGIxN,Just A Dream,Nelly,2011,52,"dance pop, hip hop, pop rap, rap, southern hip hop, st louis rap, urban contemporary",0.0421,0.752,0,1,0.12,-6.161,1,0.0305,89.917,4,0.103,1
0rIAC4PXANcKmitJfoqmVm,Motivation,Kelly Rowland Featuring Lil Wayne,2011,53,"dance pop, pop, post-teen pop, r&b, urban contemporary",0.0192,0.887,1.21E-06,4,0.3,-3.967,1,0.0984,170.918,4,0.881,1
6oIEIdJL9kDbBrGIyLZHIT,Stereo Love,Edward Maya & Vika Jigulina,2011,54,"romanian house, romanian pop, moldovan pop",0.0338,0.776,0.0216,9,0.0772,-5.359,1,0.0362,127.049,4,0.361,1
0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,Christina Perri,2011,55,"dance pop, neo mellow, pop, pop rock, post-teen pop, viral pop",0.726,0.348,0,3,0.12,-6.142,1,0.0316,74.541,4,0.0886,1
53DB6LJV9B8sz0p1s6tlGS,Roll Up,Wiz Khalifa,2011,56,"dance pop, hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",0.0524,0.805,0,3,0.0914,-5.473,1,0.192,125.358,5,0.602,1
0obBFrPYkSoBJbvHfUIhkv,Sexy And I Know It,LMFAO,2011,57,"dance pop, pop rap",0.1,0.861,0,7,0.191,-4.225,1,0.316,130.021,4,0.795,1
45sDIKapDyxPl307QpEAwl,Rocketeer,Far*East Movement Featuring Ryan Tedder,2011,58,"asian american hip hop, dance pop, edm, pop rap",0.181,0.845,0,4,0.267,-6.115,0,0.0461,96.005,4,0.357,1
22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,Kanye West,2011,59,"chicago rap, rap",0.0796,0.803,1.71E-05,1,0.176,-3.284,1,0.0717,142.113,4,0.221,1
7Dyq1bhhjknLKEGg4k5NLr,Hold It Against Me,Britney Spears,2011,60,"dance pop, pop, post-teen pop",0.0103,0.722,0,0,0.24,-4.813,0,0.0427,132.973,4,0.389,1
5OELUCYgOHKFAvCERnAvfS,More Than My Hometown,Usher,2011,61,contemporary country,0.615,0.869,0,6,0.131,-5.479,1,0.0462,126.019,4,0.597,1
2z4U9d5OAA4YLNXoCgioxo,What the Hell,Avril Lavigne,2011,62,"canadian pop, candy pop, dance pop, pop, post-teen pop",0.00472,0.926,0.0127,6,0.14,-3.689,0,0.0548,149.976,4,0.877,1
61HQWI1Woxup7CnGwVUsdI,Written in the Stars (feat. Eric Turner),Tinie Tempah Featuring Eric Turner,2011,63,"dance pop, edm, grime, house, pop dance, pop rap, tropical house",0.0587,0.945,0,7,0.184,-3.534,1,0.0717,91.017,4,0.573,1
4AYX69oFP3UOS1CFmV9UfO,Bottoms Up (feat. Nicki Minaj),Trey Songz Featuring Nicki Minaj,2011,64,"pop, dance pop, hip pop",0.0205,0.601,0,1,0.385,-5.283,1,0.157,73.989,4,0.331,1
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),Usher Featuring Pitbull,2011,65,"pop, dance pop",0.0338,0.861,0,7,0.082,-3.398,0,0.109,119.963,4,0.654,1
0gY2iq0xJPRoIB1PScKSw4,Honey Bee,Blake Shelton,2011,67,"contemporary country, country, country road, oklahoma country",0.00167,0.849,1.49E-06,4,0.121,-5.131,1,0.0385,205.57,4,0.723,1
7CZiLgkiVHhFcDkI2Y4lZ4,Don't You Wanna Stay (with Kelly Clarkson),Jason Aldean With Kelly Clarkson,2011,68,"contemporary country, country, country road, dance pop, neo mellow, pop, pop rock, post-teen pop, talent show",0.129,0.631,0,11,0.0911,-4.798,1,0.0304,143.846,4,0.152,1
6qn9YLKt13AGvpq9jfO8py,We Found Love,Rihanna Featuring Calvin Harris,2011,69,"pop, pop rap, dance pop",0.025,0.766,0.00138,1,0.108,-4.485,1,0.0383,127.986,4,0.6,1
2Adn2LNgkHMH5TelQVAu4n,Pretty Girl Rock,Keri Hilson,2011,70,"dance pop, hip pop, neo soul, pop, pop r&b, post-teen pop, r&b, urban contemporary",0.203,0.87,0,11,0.0851,-5.004,0,0.246,160.014,4,0.9,1
7aohwSiTDju51QmC54AUba,You And I,Lady Gaga,2011,71,"acoustic pop, ectofolk, indiecoustica, lilith, neo mellow, pop, pop rock, stomp and holler",0.927,0.285,0,0,0.0883,-7.632,1,0.0553,135.027,4,0.53,1
4DvhkX2ic4zWkQeWMwQ2qf,Like A G6,Far*East Movement Featuring Cataracs & Dev,2011,72,"asian american hip hop, dance pop, edm, pop rap, electropop",0.00676,0.837,0,3,0.117,-8.126,1,0.449,124.913,4,0.778,1
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,David Guetta Featuring Usher,2011,73,australian hip hop,0.213,0.413,0,0,0.134,-7.357,1,0.0299,93.005,4,0.467,1
3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,2011,74,pop,0.117,0.67,0,2,0.334,-4.663,1,0.0303,141.893,4,0.286,1
5jzKL4BDMClWqRguW5qZvh,Teenage Dream,Katy Perry,2011,75,"dance pop, pop, pop rap, post-teen pop",0.0162,0.798,2.34E-06,10,0.134,-4.582,1,0.0361,120.011,4,0.591,1
1nVLAEzhBXMJLR5zAl90Nl,Crazy Girl,Eli Young Band,2011,76,"contemporary country, country, country road, heartland rock, modern country rock, texas country",0.000415,0.651,0.00526,4,0.271,-3.842,1,0.031,151.343,3,0.257,1
46MDLc0Yip6xCMSsdePOAU,Cheers (Drink To That),Rihanna,2011,77,"barbadian pop, dance pop, pop, pop rap, urban contemporary",0.0182,0.912,0,9,0.293,-3.623,1,0.0403,79.981,4,0.727,1
3TcL0dyCMyr0kyTTc4NLgI,Who Says,Selena Gomez & The Scene,2011,78,"dance pop, pop, post-teen pop, viral pop",0.0843,0.927,0,4,0.149,-2.915,1,0.0479,101.019,4,0.744,1
3ts6xK5GzfMAAriT9AIBmP,Barefoot Blue Jean Night,Jake Owen,2011,79,"contemporary country, country, country road, modern country rock",0.208,0.808,0,4,0.196,-4.679,1,0.0403,172.016,4,0.809,1
0yD66650JxhqKbW76C2qCo,Country Girl (Shake It For Me),Luke Bryan,2011,81,"contemporary country, country, country road",0.0293,0.904,0,2,0.0834,-4.532,1,0.0462,105.97,4,0.671,1
5sIx4BlfYGuZeSLF40N9GH,Remind Me to Forget,Brad Paisley Duet With Carrie Underwood,2011,82,pop,0.193,0.508,0,0,0.139,-6.4,1,0.0987,99.063,4,0.315,1
3aGibUHhQyBsyumYHylw0K,Backseat Freestyle,New Boyz Featuring The Cataracs & Dev,2011,84,"conscious hip hop, hip hop, rap, west coast rap",0.000739,0.651,0,1,0.235,-7.601,1,0.3,77.878,4,0.646,1
6LxSe8YmdPxy095Ux6znaQ,Headlines,Drake,2011,85,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",0.365,0.566,0.000353,6,0.0917,-7.16,0,0.106,151.894,4,0.425,1
3lBRNqXjPp2j3JMTCXDTNO,Best Thing I Never Had,Beyonce,2011,86,"dance pop, pop, r&b",0.143,0.649,1.57E-05,6,0.0894,-4.062,1,0.0324,99.099,4,0.297,1
1r3myKmjWoOqRip99CmSj1,Don't Wanna Go Home,Jason Derulo,2011,87,"dance pop, pop, pop rap, post-teen pop",0.02,0.808,0,2,0.134,-4.861,0,0.0652,121.956,4,0.637,1
63rbP24OzfaQCJjsHWZXnY,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta Featuring Flo Rida & Nicki Minaj,2011,88,"pop, pop rap, dance pop",0.0306,0.872,0,3,0.228,-3.117,1,0.0396,129.873,4,0.555,1
3dhvQUA0NyrAea4vQ7X6Gn,She Ain't You,Chris Brown,2011,89,"dance pop, pop, pop rap, r&b, rap",0.0341,0.716,0,2,0.0877,-6.502,1,0.128,91.039,4,0.619,1
7B6m8tHAYZsOKOKMU5SR2n,Take A Back Road,Rodney Atkins,2011,90,"contemporary country, country, country road, modern country rock",0.183,0.856,0,3,0.0871,-4,1,0.0783,169.902,4,0.918,1
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,2011,91,"dance pop, edm, pop, pop rap, rap",0.00296,0.882,0.0544,4,0.13,-3.896,0,0.0311,120.016,4,0.657,1
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,2011,92,"dance pop, pop, r&b, urban contemporary",0.0267,0.607,0.000307,11,0.191,-8.127,0,0.1,81.001,4,0.498,1
5mvKuE9Lf9ARVXVXA32kK9,Price Tag,Jessie J Featuring B.o.B,2011,93,"pop, pop rap, dance pop",0.0281,0.831,3.06E-06,5,0.277,-3.944,1,0.182,175.038,4,0.685,1
0w9LJae3sVlZlH2CnxTInF,God Gave Me You,Blake Shelton,2011,94,"contemporary country, country, country road, oklahoma country",0.00481,0.844,7.29E-05,2,0.405,-5.043,1,0.0314,151.977,4,0.543,1
4llK75pXNWZz6KAho2Gp16,She Will Be Loved - Radio Mix,Lil Wayne Featuring Drake,2011,95,"pop, pop rock",0.228,0.663,0,0,0.0994,-5.569,0,0.0281,102,4,0.465,1
2TAcwD5KcV9uY3O1tLGV15,Are You Gonna Kiss Me Or Not,Thompson Square,2011,96,"contemporary country, country, country dawn, country road, modern country rock",0.039,0.701,0,8,0.0977,-3.807,1,0.0288,151.948,4,0.613,1
1fBl642IhJOE5U319Gy2Go,Animal,Neon Trees,2011,97,"modern alternative rock, modern rock, neo mellow, pop, pop rock, rock",0.000346,0.833,0,5,0.365,-5.611,1,0.0449,148.039,4,0.74,1
1t2hJFgJyUPD2crOafMUEk,You and Tequila (feat. Grace Potter),Kenny Chesney Featuring Grace Potter,2011,98,"contemporary country, country, country road",0.437,0.454,0.00227,6,0.0783,-9.13,1,0.0256,135.839,4,0.35,1
70tFuqBcduJv15bEnOPRTh,My Last,Big Sean Featuring Chris Brown,2011,100,"pop, pop rap, rap",0.098,0.773,0,8,0.209,-5.685,1,0.17,78.629,4,0.368,1
4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,Gotye Featuring Kimbra,2012,1,"australian pop, bergen indie, electropop, nz pop",0.591,0.495,0.000133,0,0.0992,-7.036,1,0.037,129.062,4,0.72,0
3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,Carly Rae Jepsen,2012,2,"canadian pop, dance pop, electropop, indie poptimism, pop, post-teen pop",0.0114,0.58,2.28E-06,7,0.108,-6.548,1,0.0408,120.021,4,0.66,0
7a86XRg84qjasly9f6bPSD,We Are Young (feat. Janelle Monáe),fun. Featuring Janelle Monae,2012,3,"baroque pop, metropopolis, modern rock, pop rock, afrofuturism, alternative r&b, atl hip hop, dance pop, electropop, escape room, neo soul, pop, r&b",0.02,0.638,7.66E-05,10,0.0849,-5.576,1,0.075,184.086,4,0.735,0
1LmN9SSHISbtp9LoaR5ZVJ,Payphone,Maroon 5 Featuring Wiz Khalifa,2012,4,"pop, pop rock, dance pop, hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",0.0136,0.756,0,4,0.37,-4.828,1,0.0394,110.028,4,0.523,0
4jAIqgrPjKLTY9Gbez25Qb,Lights Up,Ellie Goulding,2012,5,pop,0.0392,0.621,0.0045,10,0.141,-8.165,0,0.032,101.987,4,0.27,0
3AGOgQzp0YcPH41u9p7dOp,Glad You Came,The Wanted,2012,6,"boy band, dance pop, pop, post-teen pop",0.056,0.841,9.85E-06,7,0.118,-4.579,0,0.0692,126.889,4,0.431,0
6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,7,"dance pop, neo mellow, pop, pop rock, post-teen pop, talent show",0.046,0.939,0,0,0.112,-4.282,1,0.0475,116.044,4,0.684,0
6qn9YLKt13AGvpq9jfO8py,We Found Love,Rihanna Featuring Calvin Harris,2011,69,"pop, pop rap, dance pop",0.025,0.766,0.00138,1,0.108,-4.485,1,0.0383,127.986,4,0.6,1
1oHNvJVbFkexQc0BpQp7Y4,Starships,Nicki Minaj,2012,9,"dance pop, hip pop, pop, pop rap, queens hip hop",0.135,0.716,0,11,0.251,-2.457,0,0.075,125.008,4,0.751,0
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,2012,10,"boy band, pop, post-teen pop, talent show",0.009,0.787,0,4,0.0596,-2.494,1,0.0737,124.99,4,0.888,0
1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),Flo Rida Featuring Sia,2012,11,pop,0.0991,0.86,0,5,0.262,-5.324,0,0.0554,127.075,4,0.437,0
73CMRj62VK8nUS4ezD2wvi,Set Fire to the Rain,Adele,2012,12,"british soul, pop, pop soul, uk pop",0.00408,0.67,1.68E-06,2,0.112,-3.882,0,0.0249,107.993,4,0.446,0
0obBFrPYkSoBJbvHfUIhkv,Sexy And I Know It,LMFAO,2011,57,"dance pop, pop rap",0.1,0.861,0,7,0.191,-4.225,1,0.316,130.021,4,0.795,1
6t6oULCRS6hnI7rm0h5gwl,Some Nights,fun.,2012,14,"baroque pop, metropopolis, modern rock, pop rock",0.0178,0.738,6.75E-05,0,0.0927,-7.045,1,0.0506,107.938,4,0.392,0
5JLv62qFIS1DR3zGEcApRt,Wide Awake,Katy Perry,2012,15,"dance pop, pop, pop rap, post-teen pop",0.0749,0.683,2.64E-06,5,0.392,-5.099,1,0.0367,159.814,4,0.575,0
2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,Flo Rida,2012,16,"dance pop, miami hip hop, pop, pop rap",0.0588,0.89,0.00286,1,0.306,-4.444,0,0.0688,128.011,4,0.684,0
3bC1ahPIYt1btJzSSEyyrF,Whistle,Flo Rida,2012,17,"dance pop, miami hip hop, pop, pop rap",0.0208,0.937,0,0,0.29,-5.746,1,0.0453,103.976,4,0.739,0
4XNrMwGx1SqP01sqkGTDmo,One More Night,Maroon 5,2012,18,"pop, pop rock",0.0444,0.82,0,5,0.0846,-3.453,0,0.0323,92.998,4,0.613,0
0KAiuUOrLTIkzkpfpn9jb9,Drive By,Train,2012,19,"dance pop, neo mellow, pop, pop rock",0.00107,0.837,1.06E-05,1,0.0801,-3.113,0,0.032,122.028,4,0.721,0
4Kz4RdRCceaA9VgTqBhBfa,The Motto,Drake Featuring Lil Wayne,2012,20,"hip hop, rap",0.000107,0.442,6.12E-05,1,0.111,-8.558,1,0.356,201.8,4,0.39,0
5WQQIDU3HRaMyPkob8mpFb,Where Have You Been,Rihanna,2012,21,"barbadian pop, dance pop, pop, pop rap, urban contemporary",0.00201,0.847,0.0204,0,0.221,-6.34,0,0.0916,127.963,4,0.444,0
2iUmqdfGZcHIhS3b9E9EWq,Everybody Talks,Neon Trees,2012,22,"modern alternative rock, modern rock, neo mellow, pop, pop rock, rock",0.00301,0.924,0,8,0.313,-3.906,1,0.0586,154.961,4,0.725,0
124NFj84ppZ5pAxTuVQYCQ,Take Care,Drake Featuring Rihanna,2012,23,"canadian hip hop, canadian pop, hip hop, rap, toronto rap, barbadian pop, dance pop, pop, pop rap, urban contemporary",0.0267,0.515,1.22E-05,0,0.0888,-10.358,0,0.265,121.845,4,0.299,0
0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),David Guetta Featuring Sia,2012,24,pop,0.0678,0.788,0.153,0,0.127,-3.673,0,0.103,126.06,4,0.301,0
53QF56cjZA9RTuuMZDrSA6,I Won't Give Up,Jason Mraz,2012,25,"acoustic pop, neo mellow, pop, pop rock",0.694,0.303,0,4,0.115,-10.058,1,0.0398,136.703,3,0.142,0
0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,Bruno Mars,2012,26,"dance pop, pop",0.337,0.835,0,2,0.082,-6.826,1,0.0486,150.017,4,0.476,0
0AS63m1wHv9n4VVRizK6Hc,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012,27,"canadian pop, dance pop, pop, viral pop",0.125,0.662,0,11,0.111,-4.952,0,0.0827,148.128,4,0.356,0
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),Justin Bieber,2012,28,"dance pop, pop",0.119,0.795,0,10,0.159,-3.731,0,0.461,190.097,4,0.702,0
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,2,"dance pop, pop rap",0.0189,0.727,0,5,0.266,-4.21,0,0.142,129.993,4,0.359,0
5IFCyWplye09HytIP80RCF,Too Close,Alex Clare,2012,30,"boy band, hip hop, hip pop, minneapolis sound, neo soul, new jack swing, pop rap, quiet storm, r&b, urban contemporary",0.0118,0.402,0,7,0.283,-9.952,1,0.0641,99.693,4,0.752,0
1nZzRJbFvCEct3uzu04ZoL,Part Of Me,Katy Perry,2012,31,"dance pop, pop, pop rap, post-teen pop",0.000417,0.918,0,5,0.0744,-4.63,1,0.0355,130.028,4,0.769,0
5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,32,"hip hop, pop rap, dance pop, rap",0.0525,0.655,0,0,0.115,-6.425,1,0.137,95.078,4,0.531,0
0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,Taylor Swift,2012,33,pop,0.00957,0.676,2.65E-05,7,0.121,-5.911,1,0.0916,85.984,4,0.75,0
