Spotify ID            ,Title                                                                                           ,Artists                                                                                  ,Year,Rank,Acousticness,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo  ,Time Signature,Valence,Top 100
2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend)                                                     ,Meghan Trainor Featuring John Legend                                                     ,2016,42  ,0.4         ,0.53  ,0.0             ,0  ,0.177   ,-7.259  ,1   ,0.0434     ,108.038,3             ,0.417  ,0
7soJgKhQTO8hLP2JPRkL5O,One Call Away                                                                                   ,Charlie Puth                                                                             ,2016,43  ,0.403       ,0.613 ,0.0             ,1  ,0.115   ,-5.353  ,1   ,0.0344     ,91.024 ,4             ,0.47   ,0
13HVjjWUZFaWilh2QUJKsP,Let It Go                                                                                       ,James Bay                                                                                ,2016,44  ,0.818       ,0.311 ,1.65e-05        ,1  ,0.107   ,-10.396 ,1   ,0.0288     ,147.464,4             ,0.246  ,0
6hmhG1b4LEyNuashVvuIAo,Never Forget You                                                                                ,Zara Larsson & MNEK                                                                      ,2016,46  ,0.00312     ,0.732 ,9.86e-06        ,11 ,0.269   ,-5.728  ,0   ,0.0457     ,145.992,4             ,0.276  ,0
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You                                                                                 ,DJ Snake Featuring Justin Bieber                                                         ,2016,47  ,0.0863      ,0.716 ,2.63e-05        ,8  ,0.135   ,-5.371  ,1   ,0.0349     ,99.988 ,4             ,0.163  ,0
27PmvZoffODNFW2p7ehZTQ,Don't Mind                                                                                      ,Kent Jones                                                                               ,2016,48  ,0.0235      ,0.771 ,0.0             ,8  ,0.063   ,-4.503  ,1   ,0.336      ,158.777,4             ,0.69   ,0
0BCy325UZyR9z0t0uxwn2N,H.O.L.Y.                                                                                        ,Florida Georgia Line                                                                     ,2016,49  ,0.401       ,0.666 ,0.0             ,7  ,0.0728  ,-4.081  ,0   ,0.0327     ,78.077 ,4             ,0.564  ,0
37FXw5QGFN7uwwsLy8uAc0,We Don't Talk Anymore (feat. Selena Gomez)                                                      ,Charlie Puth Featuring Selena Gomez                                                      ,2016,50  ,0.621       ,0.563 ,0.0             ,1  ,0.179   ,-8.053  ,0   ,0.134      ,100.017,4             ,0.352  ,1
45S5WTQEGOB1VHr1Q4FuPl,Golden                                                                                          ,Kiiara                                                                                   ,2016,52  ,0.21        ,0.838 ,0.000131        ,4  ,0.131   ,-5.257  ,0   ,0.0557     ,139.863,4             ,0.254  ,1
43PuMrRfbyyuz4QpZ3oAwN,Exchange                                                                                        ,Bryson Tiller                                                                            ,2016,53  ,0.107       ,0.433 ,0.0             ,6  ,0.135   ,-10.598 ,1   ,0.185      ,160.108,4             ,0.276  ,1
5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz)                                                                           ,Fetty Wap Featuring Remy Boyz                                                            ,2016,54  ,0.00256     ,0.717 ,0.0             ,7  ,0.625   ,-5.738  ,1   ,0.318      ,190.05 ,4             ,0.603  ,1
0PJIbOdMs3bd5AT8liULMQ,oui                                                                                             ,Jeremih                                                                                  ,2016,55  ,0.213       ,0.724 ,0.0             ,5  ,0.112   ,-3.724  ,1   ,0.0964     ,78.521 ,5             ,0.604  ,1
1LoriJC05IrHIDwj3q0KC1,Hands To Myself                                                                                 ,Selena Gomez                                                                             ,2016,56  ,0.0147      ,0.499 ,2.44e-06        ,5  ,0.342   ,-7.161  ,0   ,0.118      ,111.016,4             ,0.466  ,1
0wdKiSBUT7aZkXUIdJWcwC,2 Phones                                                                                        ,Kevin Gates                                                                              ,2016,57  ,0.157       ,0.681 ,0.0             ,7  ,0.189   ,-5.267  ,0   ,0.358      ,121.918,4             ,0.554  ,1
7MXVkk9YMctZqd1Srtv4MB,Starboy                                                                                         ,The Weeknd Featuring Daft Punk                                                           ,2016,58  ,0.141       ,0.587 ,6.35e-06        ,7  ,0.137   ,-7.015  ,1   ,0.276      ,186.003,4             ,0.486  ,1
5WI2ltQIdwgzf1SNE76JyR,Never Be Like You (feat. Kai)                                                                   ,Flume Featuring Kai                                                                      ,2016,60  ,0.453       ,0.557 ,0.0             ,0  ,0.152   ,-5.476  ,1   ,0.0602     ,115.058,4             ,0.296  ,1
25KybV9BOUlvcnv7nN3Pyo,In The Night                                                                                    ,The Weeknd                                                                               ,2016,61  ,0.0796      ,0.68  ,0.0             ,7  ,0.0465  ,-4.993  ,1   ,0.0714     ,168.022,3             ,0.539  ,1
3yXFcbGxFn2au5q3pShkAe,Me Too                                                                                          ,Meghan Trainor                                                                           ,2016,62  ,0.152       ,0.605 ,0.0             ,7  ,0.642   ,-5.002  ,1   ,0.296      ,139.233,4             ,0.36   ,1
70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's                                                                                     ,Elle King                                                                                ,2016,63  ,0.0183      ,0.921 ,0.0             ,7  ,0.0576  ,-2.882  ,1   ,0.085      ,139.988,4             ,0.446  ,1
5kNe7PE09d6Kvw5pAsx23n,Die A Happy Man                                                                                 ,Thomas Rhett                                                                             ,2016,64  ,0.418       ,0.389 ,1.39e-06        ,2  ,0.116   ,-9.245  ,1   ,0.0349     ,166.052,4             ,0.4    ,1
6eT7xZZlB2mwyzJ2sUKG6w,White Iverson                                                                                   ,Post Malone                                                                              ,2016,65  ,0.233       ,0.562 ,0.0             ,7  ,0.0816  ,-7.678  ,1   ,0.0352     ,130.098,4             ,0.309  ,1
7BKLCZ1jbUBVqRi2FVlTVw,Closer                                                                                          ,The Chainsmokers Featuring Halsey                                                        ,2016,10  ,0.414       ,0.524 ,0.0             ,8  ,0.111   ,-5.599  ,1   ,0.0338     ,95.01  ,4             ,0.661  ,0
7lGKEWMXVWWTt3X71Bv44I,Unsteady                                                                                        ,X Ambassadors                                                                            ,2016,67  ,0.178       ,0.665 ,0.000732        ,0  ,0.116   ,-6.169  ,1   ,0.0644     ,117.055,4             ,0.199  ,1
4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",2016,68  ,0.255       ,0.786 ,0.0             ,9  ,0.65    ,-4.378  ,0   ,0.317      ,169.021,4             ,0.739  ,1
09CtPGIpYB4BrO8qb1RGsF,Sorry                                                                                           ,Justin Bieber                                                                            ,2016,2   ,0.0797      ,0.76  ,0.0             ,0  ,0.299   ,-3.669  ,0   ,0.045      ,99.945 ,4             ,0.41   ,0
22VdIZQfgXJea34mQxlt81,Can't Feel My Face                                                                              ,The Weeknd                                                                               ,2016,72  ,0.113       ,0.769 ,0.0             ,9  ,0.105   ,-5.526  ,0   ,0.0425     ,107.949,4             ,0.583  ,1
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend                                                                            ,Coldplay                                                                                 ,2016,73  ,0.211       ,0.693 ,6.92e-06        ,0  ,0.325   ,-6.487  ,0   ,0.0377     ,90.027 ,4             ,0.412  ,1
6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So                                                                                 ,Tory Lanez                                                                               ,2016,74  ,0.00737     ,0.551 ,1.82e-05        ,3  ,0.07    ,-7.136  ,1   ,0.0352     ,151.779,4             ,0.453  ,1
1wHZx0LgzFHyeIZkUydNXq,Antidote                                                                                        ,Travis Scott                                                                             ,2016,75  ,0.00767     ,0.526 ,0.000148        ,1  ,0.124   ,-5.046  ,1   ,0.032      ,131.05 ,4             ,0.131  ,1
4h0zU3O9R5xzuTmNO7dNDU,Lost Boy                                                                                        ,Ruth B                                                                                   ,2016,76  ,0.965       ,0.0565,0.0             ,7  ,0.0889  ,-15.099 ,1   ,0.0534     ,123.994,4             ,0.348  ,1
0EGuSSpuu9wmHCtvb4PdLO,"Sit Still, Look Pretty"                                                                        ,Daya                                                                                     ,2016,78  ,0.14        ,0.74  ,0.0             ,2  ,0.106   ,-4.081  ,1   ,0.274      ,182.105,4             ,0.543  ,1
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD                                                                                    ,DJ Snake Featuring Bipolar Sunshine                                                      ,2016,80  ,0.149       ,0.364 ,0.0             ,8  ,0.271   ,-11.713 ,1   ,0.276      ,123.984,4             ,0.463  ,1
5lXY6PTuWXOludKy4zDQwM,On My Mind                                                                                      ,Ellie Goulding                                                                           ,2016,81  ,0.00165     ,0.731 ,0.633           ,7  ,0.217   ,-6.574  ,1   ,0.0409     ,123.026,4             ,0.635  ,1
7GgWAITsYJaRM3r50rfh5w,When We Were Young                                                                              ,Adele                                                                                    ,2016,83  ,0.303       ,0.595 ,0.0             ,3  ,0.095   ,-5.936  ,1   ,0.0496     ,144.361,4             ,0.265  ,1
0uyZ5ckiIUbFZd3P6RWmrj,Hide Away                                                                                       ,Daya                                                                                     ,2016,84  ,0.23        ,0.8   ,1.99e-06        ,11 ,0.0734  ,-4.714  ,0   ,0.0846     ,95.018 ,4             ,0.464  ,1
1Lim1Py7xBgbAkAys3AGAG,Lean On                                                                                         ,Major Lazer & DJ Snake Featuring MO                                                      ,2016,85  ,0.00346     ,0.809 ,0.00123         ,7  ,0.565   ,-3.081  ,0   ,0.0625     ,98.007 ,4             ,0.274  ,1
2GyA33q5rti5IxkMQemRDH,I Know What You Did Last Summer                                                                 ,Shawn Mendes & Camila Cabello                                                            ,2016,86  ,0.102       ,0.761 ,0.0             ,9  ,0.147   ,-4.582  ,0   ,0.0876     ,113.939,4             ,0.743  ,1
5RIVoVdkDLEygELLCniZFr,Watch Me (Whip / Nae Nae)                                                                       ,Silento                                                                                  ,2016,88  ,0.247       ,0.759 ,0.0             ,8  ,0.321   ,-8.541  ,1   ,0.121      ,140.01 ,4             ,0.962  ,1
6dlpABcXrQKRU9G00i6Zba,Back To Sleep                                                                                   ,Chris Brown                                                                              ,2016,89  ,0.0424      ,0.646 ,0.0             ,9  ,0.0888  ,-5.483  ,0   ,0.243      ,92.981 ,4             ,0.721  ,1
2DQ1ITjI0YoLFzuADN1ZBW,No Limit                                                                                        ,Usher Featuring Young Thug                                                               ,2016,90  ,0.0117      ,0.771 ,0.0             ,1  ,0.0853  ,-3.791  ,1   ,0.244      ,175.957,4             ,0.405  ,1
376KnY4TrgBITxjlnbnmIy,Cut It (feat. Young Dolph)                                                                      ,O.T. Genasis Featuring Young Dolph                                                       ,2016,91  ,0.135       ,0.673 ,0.0             ,7  ,0.292   ,-4.184  ,1   ,0.0932     ,130.0  ,4             ,0.231  ,1
10I3CmmwT0BkOVhduDy53o,Really Really                                                                                   ,Kevin Gates                                                                              ,2016,92  ,0.00427     ,0.666 ,0.0             ,0  ,0.127   ,-6.055  ,1   ,0.0916     ,118.97 ,4             ,0.278  ,1
7nD9nN3jord9wWcfW3Gkcm,All In My Head (Flex) (feat. Fetty Wap)                                                         ,Fifth Harmony Featuring Fetty Wap                                                        ,2016,93  ,0.023       ,0.791 ,0.0             ,0  ,0.0526  ,-5.194  ,0   ,0.053      ,95.04  ,4             ,0.755  ,1
4Ce37cRWvM1vIGGynKcs22,Starving                                                                                        ,Hailee Steinfeld & Grey Featuring Zedd                                                   ,2016,94  ,0.378       ,0.616 ,0.0             ,4  ,0.105   ,-4.238  ,1   ,0.0645     ,99.962 ,4             ,0.508  ,1
69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime                                                                         ,Coldplay                                                                                 ,2016,95  ,0.00205     ,0.924 ,0.000175        ,7  ,0.149   ,-3.887  ,1   ,0.036      ,111.995,4             ,0.53   ,1
4Pn0JlCUusD2QHjADuOzuV,Humble And Kind                                                                                 ,Tim McGraw                                                                               ,2016,96  ,0.679       ,0.48  ,2.28e-06        ,11 ,0.12    ,-7.31   ,1   ,0.0282     ,100.956,3             ,0.137  ,1
6VwBbL8CzPiC4QV66ay7oR,Wicked Games                                                                                    ,Future                                                                                   ,2016,97  ,0.00959     ,0.591 ,5.27e-06        ,9  ,0.325   ,-5.197  ,1   ,0.0309     ,114.078,4             ,0.326  ,1
3NJG6vMH1ZsectZkocMEm0,Tiimmy Turner                                                                                   ,Desiigner                                                                                ,2016,98  ,0.174       ,0.725 ,0.0             ,6  ,0.0786  ,-3.054  ,1   ,0.0393     ,122.803,4             ,0.304  ,1
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis)                                                                ,Wiz Khalifa Featuring Charlie Puth                                                       ,2016,99  ,0.371       ,0.559 ,7.49e-06        ,6  ,0.109   ,-9.222  ,1   ,0.0959     ,78.558 ,4             ,0.62   ,1
0tgVpDi06FyKpA1z0VMD4v,Perfect                                                                                         ,One Direction                                                                            ,2016,100 ,0.163       ,0.448 ,0.0             ,8  ,0.106   ,-6.312  ,1   ,0.0232     ,95.05  ,3             ,0.168  ,1
7qiZfU4dY1lWllzX7mPBI3,Shape of You                                                                                    ,Ed Sheeran                                                                               ,2017,1   ,0.581       ,0.652 ,0.0             ,1  ,0.0931  ,-3.183  ,0   ,0.0802     ,95.977 ,4             ,0.931  ,0
6habFhsOp2NvshLv26DqMb,Despacito                                                                                       ,Luis Fonsi & Daddy Yankee Featuring Justin Bieber                                        ,2017,2   ,0.198       ,0.797 ,0.0             ,2  ,0.067   ,-4.787  ,1   ,0.153      ,177.928,4             ,0.839  ,0
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like                                                                              ,Bruno Mars                                                                               ,2017,3   ,0.013       ,0.56  ,0.0             ,1  ,0.0944  ,-4.961  ,1   ,0.0406     ,134.066,4             ,0.86   ,0
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.                                                                                         ,Kendrick Lamar                                                                           ,2017,4   ,0.000282    ,0.621 ,5.39e-05        ,1  ,0.0958  ,-6.638  ,0   ,0.102      ,150.011,4             ,0.421  ,0
6RUKPb4LETWmmr3iAEQktW,Something Just Like This                                                                        ,The Chainsmokers & Coldplay                                                              ,2017,5   ,0.0498      ,0.635 ,1.44e-05        ,11 ,0.164   ,-6.769  ,0   ,0.0317     ,103.019,4             ,0.446  ,0
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert)                                                             ,Migos Featuring Lil Uzi Vert                                                             ,2017,6   ,0.061       ,0.665 ,0.0             ,11 ,0.123   ,-5.313  ,1   ,0.244      ,127.076,4             ,0.175  ,0
7BKLCZ1jbUBVqRi2FVlTVw,Closer                                                                                          ,The Chainsmokers Featuring Halsey                                                        ,2016,10  ,0.414       ,0.524 ,0.0             ,8  ,0.111   ,-5.599  ,1   ,0.0338     ,95.01  ,4             ,0.661  ,0
7mldq42yDuxiUNn08nvzHO,Body Like A Back Road                                                                           ,Sam Hunt                                                                                 ,2017,8   ,0.447       ,0.458 ,0.0             ,5  ,0.136   ,-7.225  ,1   ,0.0311     ,98.938 ,4             ,0.661  ,0
0pqnGHJpmpxLKifKRmU6WP,Believer                                                                                        ,Imagine Dragons                                                                          ,2017,9   ,0.0622      ,0.78  ,0.0             ,10 ,0.081   ,-4.374  ,0   ,0.128      ,124.949,4             ,0.666  ,0
3a1lNhkSLSkpJE4MSHpDu9,Congratulations                                                                                 ,Post Malone Featuring Quavo                                                              ,2017,10  ,0.215       ,0.804 ,0.0             ,6  ,0.253   ,-4.183  ,1   ,0.0363     ,123.146,4             ,0.492  ,0
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go                                                                            ,James Arthur                                                                             ,2017,11  ,0.695       ,0.557 ,0.0             ,10 ,0.0902  ,-7.398  ,1   ,0.059      ,85.043 ,4             ,0.494  ,0
1jYiIOC5d6soxkJP81fxq2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)"                       ,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"                ,2017,12  ,0.0533      ,0.667 ,0.0             ,7  ,0.134   ,-4.267  ,1   ,0.0367     ,80.984 ,4             ,0.817  ,0
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3                                                                                   ,Lil Uzi Vert                                                                             ,2017,13  ,0.00264     ,0.75  ,0.0             ,11 ,0.109   ,-6.366  ,0   ,0.231      ,155.096,4             ,0.401  ,0
0VgkVdmE4gld66l8iyGjgx,Mask Off                                                                                        ,Future                                                                                   ,2017,14  ,0.0102      ,0.434 ,0.0219          ,2  ,0.165   ,-8.795  ,1   ,0.431      ,150.062,4             ,0.281  ,0
3B54sVLJ402zGa6Xm4YGNe,Unforgettable                                                                                   ,French Montana Featuring Swae Lee                                                        ,2017,15  ,0.0293      ,0.769 ,0.0101          ,6  ,0.104   ,-5.043  ,1   ,0.123      ,97.985 ,4             ,0.733  ,0
6b8Be6ljOzmkOmFslEb23P,24K Magic                                                                                       ,Bruno Mars                                                                               ,2017,16  ,0.034       ,0.803 ,0.0             ,1  ,0.153   ,-4.282  ,1   ,0.0797     ,106.97 ,4             ,0.632  ,0
45XhKYRRkyeqoW3teSOkCM,Wild Thoughts (feat. Rihanna & Bryson Tiller)                                                   ,DJ Khaled Featuring Rihanna & Bryson Tiller                                              ,2017,18  ,0.0287      ,0.681 ,0.0             ,8  ,0.126   ,-3.089  ,1   ,0.0778     ,97.621 ,4             ,0.619  ,0
6fujklziTHa8uoM5OQSfIo,Black Beatles                                                                                   ,Rae Sremmurd Featuring Gucci Mane                                                        ,2017,19  ,0.142       ,0.632 ,0.0             ,0  ,0.128   ,-6.163  ,1   ,0.0649     ,145.926,4             ,0.355  ,0
7MXVkk9YMctZqd1Srtv4MB,Starboy                                                                                         ,The Weeknd Featuring Daft Punk                                                           ,2016,58  ,0.141       ,0.587 ,6.35e-06        ,7  ,0.137   ,-7.015  ,1   ,0.276      ,186.003,4             ,0.486  ,1
152lZdxL1OR0ZMW6KquMif,Location                                                                                        ,Khalid                                                                                   ,2017,21  ,0.33        ,0.449 ,0.000162        ,1  ,0.0898  ,-11.462 ,0   ,0.425      ,80.126 ,4             ,0.326  ,0
5cF0dROlMOK5uNZtivgu50,Attention                                                                                       ,Charlie Puth                                                                             ,2017,22  ,0.109       ,0.613 ,2.33e-05        ,3  ,0.134   ,-4.586  ,0   ,0.0542     ,100.066,4             ,0.797  ,0
